,One,A1,A2,A3,A4,A5,A6,B
1,1,51,30,39,61,92,45,43
2,1,64,51,54,63,73,47,63
3,1,70,68,69,76,86,48,71
4,1,63,45,47,54,84,35,61
5,1,78,56,66,71,83,47,81
6,1,55,49,44,54,49,34,43
7,1,67,42,56,66,68,35,58
8,1,75,50,55,70,66,41,71
9,1,82,72,67,71,83,31,72
10,1,61,45,47,62,80,41,67
11,1,53,53,58,58,67,34,64
12,1,60,47,39,59,74,41,67
13,1,62,57,42,55,63,25,69
14,1,83,83,45,59,77,35,68
15,1,77,54,72,79,77,46,77
16,1,90,50,72,60,54,36,81
17,1,85,64,69,79,79,63,74
18,1,60,65,75,55,80,60,65
19,1,70,46,57,75,85,46,65
20,1,58,68,54,64,78,52,50
21,1,40,33,34,43,64,33,50
22,1,61,52,62,66,80,41,64
23,1,66,52,50,63,80,37,53
24,1,37,42,58,50,57,49,40
25,1,54,42,48,66,75,33,63
26,1,77,66,63,88,76,72,66
27,1,75,58,74,80,78,49,78
28,1,57,44,45,51,83,38,48
29,1,85,71,71,77,74,55,85
30,1,82,39,59,64,78,39,82
