,A1,A2,A3,A4,A5,A6,A7,A8,A9,B
1,1,-1,-1,0,0, 1, 0, 0, 0,67
2,1, 1,-1,0,0,-1, 0, 0, 0,83
3,1,-1, 1,0,0,-1, 0, 0, 0,95
4,1, 1, 1,0,0, 1, 0, 0, 0,89
5,1,-1,-1,1,0, 1,-1,-1, 1,71
6,1, 1,-1,1,0,-1, 1,-1,-1,85
7,1,-1, 1,1,0,-1,-1, 1,-1,98
8,1, 1, 1,1,0, 1, 1, 1, 1,92
9,1,-1,-1,0,1, 1, 0, 0, 0,77
10,1, 1,-1,0,1,-1, 0, 0, 0,89
11,1,-1, 1,0,1,-1, 0, 0, 0,79
12,1, 1, 1,0,1, 1, 0, 0, 0,78
13,1,-1,-1,1,1, 1,-1,-1, 1,77
14,1, 1,-1,1,1,-1, 1,-1,-1,92
15,1,-1, 1,1,1,-1,-1, 1,-1,87
16,1, 1, 1,1,1, 1, 1, 1, 1,85
